dataset,fea_dim_pair,model,seed,auc,bce_loss
aliccp,"{'101': 10, '110_14': 3, '127_14': 2, '150_14': 1, '205': 5, '206': 1, '207': 2, '210': 1, '508': 2, '509': 4, '702': 1, '853': 3}",widedeep,1,0.6581183283304527,0.15842573308921798
aliccp,"{'101': 11, '110_14': 3, '127_14': 1, '150_14': 1, '205': 5, '206': 1, '207': 3, '210': 1, '216': 1, '508': 1, '509': 4, '702': 1, '853': 2}",widedeep,0,0.6578191877709423,0.15818476135145576
aliccp,"{'101': 11, '110_14': 3, '127_14': 1, '150_14': 1, '205': 5, '206': 1, '207': 3, '210': 1, '216': 1, '508': 1, '509': 4, '702': 1, '853': 2}",widedeep,1,0.6575853237213432,0.1581271438717155
aliccp,"{'101': 7, '109_14': 11, '110_14': 7, '121': 7, '122': 9, '124': 5, '125': 14, '126': 9, '127': 8, '127_14': 10, '128': 4, '129': 4, '150_14': 9, '205': 15, '206': 9, '207': 11, '210': 2, '216': 4, '301': 14, '508': 12, '509': 5, '702': 3, '853': 1}",widedeep,0,0.6588546304217224,0.1580770116703769
aliccp,"{'101': 7, '109_14': 11, '110_14': 7, '121': 7, '122': 9, '124': 5, '125': 14, '126': 9, '127': 8, '127_14': 10, '128': 4, '129': 4, '150_14': 9, '205': 15, '206': 9, '207': 11, '210': 2, '216': 4, '301': 14, '508': 12, '509': 5, '702': 3, '853': 1}",widedeep,1,0.6582173541908598,0.15808654243733078
aliccp,"{'101': 1, '109_14': 6, '110_14': 4, '121': 15, '122': 2, '124': 6, '125': 11, '126': 13, '127': 2, '127_14': 7, '128': 16, '129': 6, '150_14': 3, '205': 15, '206': 9, '207': 4, '210': 2, '216': 1, '301': 11, '508': 4, '509': 6, '702': 11, '853': 11}",widedeep,0,0.6540456816973412,0.15844089188590632
aliccp,"{'101': 1, '109_14': 6, '110_14': 4, '121': 15, '122': 2, '124': 6, '125': 11, '126': 13, '127': 2, '127_14': 7, '128': 16, '129': 6, '150_14': 3, '205': 15, '206': 9, '207': 4, '210': 2, '216': 1, '301': 11, '508': 4, '509': 6, '702': 11, '853': 11}",widedeep,1,0.6539346284854105,0.15847224845236935
avazu,"{'C1': 16, 'C14': 16, 'C15': 16, 'C16': 16, 'C17': 16, 'C18': 16, 'C19': 16, 'C20': 16, 'C21': 16, 'app_category': 16, 'app_domain': 16, 'app_id': 16, 'banner_pos': 16, 'device_conn_type': 16, 'device_id': 16, 'device_ip': 16, 'device_model': 16, 'device_type': 16, 'hour': 16, 'site_category': 16, 'site_domain': 16, 'site_id': 16}",widedeep,0,0.7859645900796359,0.37648960413541477
avazu,"{'C1': 16, 'C14': 16, 'C15': 16, 'C16': 16, 'C17': 16, 'C18': 16, 'C19': 16, 'C20': 16, 'C21': 16, 'app_category': 16, 'app_domain': 16, 'app_id': 16, 'banner_pos': 16, 'device_conn_type': 16, 'device_id': 16, 'device_ip': 16, 'device_model': 16, 'device_type': 16, 'hour': 16, 'site_category': 16, 'site_domain': 16, 'site_id': 16}",widedeep,1,0.7866391079379823,0.37615590644462493
avazu,"{'C1': 1, 'C14': 7, 'C15': 2, 'C16': 2, 'C17': 6, 'C19': 3, 'C20': 6, 'C21': 4, 'app_category': 1, 'app_domain': 3, 'app_id': 9, 'banner_pos': 1, 'device_conn_type': 3, 'device_id': 6, 'device_ip': 10, 'device_model': 7, 'device_type': 1, 'hour': 3, 'site_category': 2, 'site_domain': 6, 'site_id': 8}",widedeep,0,0.7867131362227425,0.3760862150875872
